BREED,HEIGHT,WEIGHT,LIFE EXPECTANCY,CHARACTERISTICS,GROOMING FREQUENCY,SHEDDING LEVEL,ENERGY LEVEL,TRAINABILITY,TEMPERAMENT/DEMEANOR,description
American Leopard Hound,21-27 inches,45-70 pounds,12-15 years,"Sociable, Energetic, Intelligent",Weekly Brushing,Seasonal,Energetic,Eager to Please,Alert/Responsive,"American Leopard Houndは犬種です。

体高は21〜68.6cmです。
体重は45〜31.8kgです。
寿命は12〜15 年です。

特徴は社交的です、エネルギッシュです、知的です。

多くの運動を必要とします。
飼い主の期待に応えようとする性格です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
American Staffordshire Terrier,"18-19 inches (male), 17-18 inches (female)","55-70 pounds (male), 40-55 pounds (female)",12-16 years,"Confident, Smart, Good-Natured",Occasional Bath/Brush,Occasional,Regular Exercise,Agreeable,Alert/Responsive,"American Staffordshire Terrierは犬種です。

体高は18〜48.3cm (オス)、 17〜45.7cm (メス)です。
体重は55〜31.8kg (オス)、 40〜24.9kg (メス)です。
寿命は12〜16 年です。

特徴は自信に満ちています、頭がいいです、気立てが良いです。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Bolognese,10-12 inches,5.5-9 pounds,12-14 years,"Playful, Easy-Going, Devoted",2-3 Times a Week Brushing,Infrequent,Calm,Agreeable,Friendly,"Bologneseは犬種です。

体高は10〜30.5cmです。
体重は5.5〜4.1kgです。
寿命は12〜14 年です。

特徴は遊び好きです、気さくです、献身的です。

落ち着いています。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
抜け毛は少ないです。"
Anatolian Shepherd Dog,"29 inches (male), 27 inches (female)","110-150 pounds (male), 80-120 pounds (female)",11-13 years,"Loyal, Independent, Reserved",Weekly Brushing,Seasonal,Regular Exercise,Independent,Reserved with Strangers,"Anatolian Shepherd Dogは犬種です。

体高は73.7cm (オス)、 68.6cm (メス)です。
体重は110〜68kg (オス)、 80〜54.4kg (メス)です。
寿命は11〜13 年です。

特徴は忠実です、独立心が強いです、内気です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Appenzeller Sennenhund,19-22 inches,48-70 pounds,12-15 years,"Agile, Versatile, Lively",Weekly Brushing,Regularly,Needs Lots of Activity,May be Stubborn,Reserved with Strangers,"Appenzeller Sennenhundは犬種です。

体高は19〜55.9cmです。
体重は48〜31.8kgです。
寿命は12〜15 年です。

特徴は機敏です、多才です、陽気です。

非常に活発で、多くの運動や遊びが必要です。
しつけには根気が必要です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
Australian Cattle Dog,"18-20 inches (male), 17-19 inches (female)",35-50 pounds,12-16 years,"Alert, Curious, Pleasant",Occasional Bath/Brush,Regularly,Needs Lots of Activity,May be Stubborn,Reserved with Strangers,"Australian Cattle Dogは犬種です。

体高は18〜50.8cm (オス)、 17〜48.3cm (メス)です。
体重は35〜22.7kgです。
寿命は12〜16 年です。

特徴は警戒心が強いです、好奇心旺盛です、感じが良いです。

非常に活発で、多くの運動や遊びが必要です。
しつけには根気が必要です。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
定期的に抜け毛があります。"
Australian Kelpie,17-20 inches,,10-13 years,"Loyal, Alert, Intelligent",Weekly Brushing,Regularly,Energetic,Eager to Please,Alert/Responsive,"Australian Kelpieは犬種です。

体高は17〜50.8cmです。
体重は不明です。
寿命は10〜13 年です。

特徴は忠実です、警戒心が強いです、知的です。

多くの運動を必要とします。
飼い主の期待に応えようとする性格です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
Australian Shepherd,"20-23 inches (male), 18-21 inches (female)","50-65 pounds (male), 40-55 pounds (female)",12-15 years,"Smart, Work-Oriented, Exuberant",Weekly Brushing,Seasonal,Energetic,Eager to Please,Alert/Responsive,"Australian Shepherdは犬種です。

体高は20〜58.4cm (オス)、 18〜53.3cm (メス)です。
体重は50〜29.5kg (オス)、 40〜24.9kg (メス)です。
寿命は12〜15 年です。

特徴は頭がいいです、仕事熱心です、活気に満ちています。

多くの運動を必要とします。
飼い主の期待に応えようとする性格です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Australian Stumpy Tail Cattle Dog,"18-20 inches (males), 17-19 inches (females)","38-45 pounds (males), 32-35 pounds (females)",12-15 years,"Alert, Trainable, Comical",Weekly Brushing,Occasional,Energetic,Easy Training,Alert/Responsive,"Australian Stumpy Tail Cattle Dogは犬種です。

体高は18〜50.8cm (オス)、 17〜48.3cm (メス)です。
体重は38〜20.4kg (オス)、 32〜15.9kg (メス)です。
寿命は12〜15 年です。

特徴は警戒心が強いです、しつけを覚えやすいです、コミカルです。

多くの運動を必要とします。
しつけは容易な傾向があります。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Australian Terrier,10-11 inches,15-20 pounds,11-15 years,"Affectionate, Courageous, Spirited",Weekly Brushing,Infrequent,Energetic,Agreeable,Friendly,"Australian Terrierは犬種です。

体高は10〜27.9cmです。
体重は15〜9.1kgです。
寿命は11〜15 年です。

特徴は愛情深いです、勇敢です、活発です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛は少ないです。"
Azawakh,"25-29 inches (male), 23.5-27.5 inches (female)","44-55 pounds (male), 33-44 pounds (female)",12-15 years,"Loyal, Independent, Deeply Affectionate",Weekly Brushing,Occasional,Regular Exercise,Independent,Friendly,"Azawakhは犬種です。

体高は25〜73.7cm (オス)、 23.5〜69.8cm (メス)です。
体重は44〜24.9kg (オス)、 33〜20kg (メス)です。
寿命は12〜15 年です。

特徴は忠実です、独立心が強いです、非常に愛情深いです。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Lhasa Apso,"10-11 inches (male), slightly smaller (female)",12-18 pounds,12-15 years,"Confident, Smart, Comical",2-3 Times a Week Brushing,Infrequent,Regular Exercise,Independent,Reserved with Strangers,"Lhasa Apsoは犬種です。

体高は10〜27.9cm (オス)、 わずかに小さめ (メス)です。
体重は12〜8.2kgです。
寿命は12〜15 年です。

特徴は自信に満ちています、頭がいいです、コミカルです。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
抜け毛は少ないです。"
Basenji,"17 inches (male), 16 inches (female)","24 pounds (male), 22 pounds (female)",13-14 years,"Independent, Smart, Poised",Occasional Bath/Brush,Occasional,Energetic,Independent,Reserved with Strangers,"Basenjiは犬種です。

体高は43.2cm (オス)、 40.6cm (メス)です。
体重は10.9kg (オス)、 10kg (メス)です。
寿命は13〜14 年です。

特徴は独立心が強いです、頭がいいです、落ち着いています。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Basset Fauve de Bretagne,12.5-15.5 inches,27-35 pounds,12+ years,"Smart, Cheerful, Determined",Weekly Brushing,Seasonal,Regular Exercise,May be Stubborn,Outgoing,"Basset Fauve de Bretagneは犬種です。

体高は12.5〜39.4cmです。
体重は27〜15.9kgです。
寿命は12+ 年です。

特徴は頭がいいです、朗らかです、決意が固いです。

適度な運動が必要です。
しつけには根気が必要です。
社交的な性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Basset Hound,up to 15 inches,40-65 pounds,12-13 years,"Charming, Patient, Low-Key",2-3 Times a Week Brushing,Occasional,Couch Potato,Independent,Friendly,"Basset Houndは犬種です。

体高は最大 38.1cmです。
体重は40〜29.5kgです。
寿命は12〜13 年です。

特徴は魅力的です、忍耐強いです、控えめです。

運動量は少なく、室内でゆったり過ごすことを好みます。
独立心が強いため、しつけには一貫した対応が求められます。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
抜け毛はややあります。"
Bavarian Mountain Scent Hound,17-20.5 inches,37-66 pounds,12-15 years,"Loyal, Versatile, Reserved with Strangers",Weekly Brushing,Regularly,Regular Exercise,Agreeable,Reserved with Strangers,"Bavarian Mountain Scent Houndは犬種です。

体高は17〜52.1cmです。
体重は37〜29.9kgです。
寿命は12〜15 年です。

特徴は忠実です、多才です、人見知りをします。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
Beagle,"13 inches & under, 13-15 inches","under 20 pounds (13 inches & under), 20-30 pounds (13-15 inches)",10-15 years,"Friendly, Curious, Merry",2-3 Times a Week Brushing,Seasonal,Energetic,Agreeable,Friendly,"Beagleは犬種です。

体高は33cm & 未満、 13〜38.1cmです。
体重は未満 9.1kg (33cm & 未満)、 20〜13.6kg (13〜38.1cm)です。
寿命は10〜15 年です。

特徴は友好的です、好奇心旺盛です、愉快です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Bearded Collie,"21-22 inches (male), 20-21 inches (female)",45-55 pounds,12-14 years,"Smart, Bouncy, Charismatic",Daily Brushing,Seasonal,Regular Exercise,Independent,Outgoing,"Bearded Collieは犬種です。

体高は21〜55.9cm (オス)、 20〜53.3cm (メス)です。
体重は45〜24.9kgです。
寿命は12〜14 年です。

特徴は頭がいいです、元気はつらつです、カリスマ性があります。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
社交的な性格です。
毎日のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Beauceron,"25.5-27.5 inches (male), 24-26.5 inches (female)",70-110 pounds,10-12 years,"Gentle, Faithful, Obedient",2-3 Times a Week Brushing,Frequent,Needs Lots of Activity,Easy Training,Reserved with Strangers,"Beauceronは犬種です。

体高は25.5〜69.8cm (オス)、 24〜67.3cm (メス)です。
体重は70〜49.9kgです。
寿命は10〜12 年です。

特徴は穏やかで優しいです、誠実です、従順です。

非常に活発で、多くの運動や遊びが必要です。
しつけは容易な傾向があります。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
普段から抜け毛が多い犬種です。"
Bedlington Terrier,15-17.5 inches,17-23 pounds,11-16 years,"Loyal, Charming, Frollicking",2-3 Times a Week Brushing,,Energetic,Agreeable,Alert/Responsive,"Bedlington Terrierは犬種です。

体高は15〜44.5cmです。
体重は17〜10.4kgです。
寿命は11〜16 年です。

特徴は忠実です、魅力的です、陽気で遊び心にあふれています。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
週に2〜3回のブラッシングが必要です。
不明"
Belgian Laekenois,"24-26 inches (male), 22-24 inches (female)",55-65 pounds,10-12 years,"Affectionate, Alert, Intelligent",Weekly Brushing,Regularly,Energetic,Easy Training,Reserved with Strangers,"Belgian Laekenoisは犬種です。

体高は24〜66cm (オス)、 22〜61cm (メス)です。
体重は55〜29.5kgです。
寿命は10〜12 年です。

特徴は愛情深いです、警戒心が強いです、知的です。

多くの運動を必要とします。
しつけは容易な傾向があります。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
Belgian Malinois,"24-26 inches (male), 22-24 inches (female)","60-80 pounds (male), 40-60 pounds (female)",14-16 years,"Confident, Smart, Hardworking",Weekly Brushing,Seasonal,Energetic,Easy Training,Reserved with Strangers,"Belgian Malinoisは犬種です。

体高は24〜66cm (オス)、 22〜61cm (メス)です。
体重は60〜36.3kg (オス)、 40〜27.2kg (メス)です。
寿命は14〜16 年です。

特徴は自信に満ちています、頭がいいです、勤勉です。

多くの運動を必要とします。
しつけは容易な傾向があります。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Belgian Sheepdog,"24-26 inches (male), 22-24 inches (female)","55-75 pounds (male), 45-60 pounds (female)",12-14 years,"Bright, Watchful, Serious-Minded",2-3 Times a Week Brushing,Seasonal,Energetic,Easy Training,Reserved with Strangers,"Belgian Sheepdogは犬種です。

体高は24〜66cm (オス)、 22〜61cm (メス)です。
体重は55〜34kg (オス)、 45〜27.2kg (メス)です。
寿命は12〜14 年です。

特徴は明るいです、用心深いです、まじめです。

多くの運動を必要とします。
しつけは容易な傾向があります。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Belgian Tervuren,"24-26 inches (male), 22-24 inches (female)","55-75 pounds (male), 45-60 pounds (female)",12-14 years,"Courageous, Alert, Intelligent",2-3 Times a Week Brushing,Seasonal,Energetic,Easy Training,Reserved with Strangers,"Belgian Tervurenは犬種です。

体高は24〜66cm (オス)、 22〜61cm (メス)です。
体重は55〜34kg (オス)、 45〜27.2kg (メス)です。
寿命は12〜14 年です。

特徴は勇敢です、警戒心が強いです、知的です。

多くの運動を必要とします。
しつけは容易な傾向があります。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Bergamasco Sheepdog,"23.5 inches (male), 22 inches (female)","70-84 pounds (male), 57-71 pounds (female)",13-15 years,"Independent, Sociable, Intelligent",Occasional Bath/Brush,Infrequent,Calm,Agreeable,Reserved with Strangers,"Bergamasco Sheepdogは犬種です。

体高は59.7cm (オス)、 55.9cm (メス)です。
体重は70〜38.1kg (オス)、 57〜32.2kg (メス)です。
寿命は13〜15 年です。

特徴は独立心が強いです、社交的です、知的です。

落ち着いています。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
抜け毛は少ないです。"
Berger Picard,"23.5-25.5 inches (male), 21.5-23.5 inches (female)",50-70 pounds,12-13 years,"Loyal, Good-Natured, Observant",Occasional Bath/Brush,Seasonal,Needs Lots of Activity,Easy Training,Alert/Responsive,"Berger Picardは犬種です。

体高は23.5〜64.8cm (オス)、 21.5〜59.7cm (メス)です。
体重は50〜31.8kgです。
寿命は12〜13 年です。

特徴は忠実です、気立てが良いです、観察力があります。

非常に活発で、多くの運動や遊びが必要です。
しつけは容易な傾向があります。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Bernese Mountain Dog,"25-27.5 inches (male), 23-26 inches (female)","80-115 pounds (male), 70-95 pounds (female)",7-10 years,"Good-Natured, Calm, Strong",2-3 Times a Week Brushing,Frequent,Energetic,Easy Training,Reserved with Strangers,"Bernese Mountain Dogは犬種です。

体高は25〜69.8cm (オス)、 23〜66cm (メス)です。
体重は80〜52.2kg (オス)、 70〜43.1kg (メス)です。
寿命は7〜10 年です。

特徴は気立てが良いです、冷静です、力強いです。

多くの運動を必要とします。
しつけは容易な傾向があります。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
普段から抜け毛が多い犬種です。"
Bichon Frise,9.5-11.5 inches,12-18 pounds,14-15 years,"Playful, Curious, Peppy",Specialty/Professional,Infrequent,Regular Exercise,Agreeable,Outgoing,"Bichon Friseは犬種です。

体高は9.5〜29.2cmです。
体重は12〜8.2kgです。
寿命は14〜15 年です。

特徴は遊び好きです、好奇心旺盛です、元気で明るいです。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
社交的な性格です。
専門的な手入れやプロによるトリミングが必要です。
抜け毛は少ないです。"
French Spaniel,21.5-24 inches,50-60 pounds,10-12 years,"Gentle, Sociable, Intelligent",,,DOUBLE CHECK,,,"French Spanielは犬種です。

体高は21.5〜61cmです。
体重は50〜27.2kgです。
寿命は10〜12 年です。

特徴は穏やかで優しいです、社交的です、知的です。

不明
不明
不明
不明
不明"
Black and Tan Coonhound,"25-27 inches (male), 23-25 inches (female)",65-110 pounds,10-12 years,"Easy-Going, Bright, Brave",Weekly Brushing,Seasonal,Regular Exercise,Independent,Friendly,"Black and Tan Coonhoundは犬種です。

体高は25〜68.6cm (オス)、 23〜63.5cm (メス)です。
体重は65〜49.9kgです。
寿命は10〜12 年です。

特徴は気さくです、明るいです、勇敢です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Black Russian Terrier,"27-30 inches (male), 26-29 inches (female)",80-130 pounds,10-12 years,"Intelligent, Calm, Powerful",Daily Brushing,Seasonal,Energetic,Easy Training,Reserved with Strangers,"Black Russian Terrierは犬種です。

体高は27〜76.2cm (オス)、 26〜73.7cm (メス)です。
体重は80〜59kgです。
寿命は10〜12 年です。

特徴は知的です、冷静です、力強いです。

多くの運動を必要とします。
しつけは容易な傾向があります。
見知らぬ人には慎重な傾向があります。
毎日のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Bloodhound,"25-27 inches (male), 23-25 inches (female)","90-110 pounds (male), 80-100 pounds (female)",10-12 years,"Friendly, Independent, Inquisitive",Weekly Brushing,Seasonal,Regular Exercise,Independent,Alert/Responsive,"Bloodhoundは犬種です。

体高は25〜68.6cm (オス)、 23〜63.5cm (メス)です。
体重は90〜49.9kg (オス)、 80〜45.4kg (メス)です。
寿命は10〜12 年です。

特徴は友好的です、独立心が強いです、探求心旺盛です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Bluetick Coonhound,"22-27 inches (male), 21-25 inches (female)","55-80 pounds (male), 45-65 pounds (female)",11-12 years,"Smart, Devoted, Tenacious",Weekly Brushing,Seasonal,Energetic,Agreeable,Friendly,"Bluetick Coonhoundは犬種です。

体高は22〜68.6cm (オス)、 21〜63.5cm (メス)です。
体重は55〜36.3kg (オス)、 45〜29.5kg (メス)です。
寿命は11〜12 年です。

特徴は頭がいいです、献身的です、粘り強いです。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Boerboel,"24-27 inches (male), 22-25 inches (female)",150-200 pounds,9-11 years,"Confident, Intelligent, Calm",Occasional Bath/Brush,Occasional,Calm,Agreeable,Reserved with Strangers,"Boerboelは犬種です。

体高は24〜68.6cm (オス)、 22〜63.5cm (メス)です。
体重は150〜90.7kgです。
寿命は9〜11 年です。

特徴は自信に満ちています、知的です、冷静です。

落ち着いています。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Bohemian Shepherd,"20.5-21.7 inches (males), 19.3-20.5 inches (females)","41-60 pounds (males), 37-53 pounds (females)",12-15 years,"Friendly, Devoted, Alert and Intelligent",Occasional Bath/Brush,Occasional,Regular Exercise,Easy Training,Alert/Responsive,"Bohemian Shepherdは犬種です。

体高は20.5〜55.1cm (オス)、 19.3〜52.1cm (メス)です。
体重は41〜27.2kg (オス)、 37〜24kg (メス)です。
寿命は12〜15 年です。

特徴は友好的です、献身的です、機敏で知的です。

適度な運動が必要です。
しつけは容易な傾向があります。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Tornjak,23-28 inches,62-110 pounds,12-14 years,"Friendly, Courageous, Intelligent",,,DOUBLE CHECK,Easy Training,Alert/Responsive,"Tornjakは犬種です。

体高は23〜71.1cmです。
体重は62〜49.9kgです。
寿命は12〜14 年です。

特徴は友好的です、勇敢です、知的です。

不明
しつけは容易な傾向があります。
警戒心や対応力が高いです。
不明
不明"
Border Collie,"19-22 inches (male), 18-21 inches (female)",30-55 pounds,12-15 years,"Affectionate, Smart, Energetic",2-3 Times a Week Brushing,Seasonal,Needs Lots of Activity,Eager to Please,Reserved with Strangers,"Border Collieは犬種です。

体高は19〜55.9cm (オス)、 18〜53.3cm (メス)です。
体重は30〜24.9kgです。
寿命は12〜15 年です。

特徴は愛情深いです、頭がいいです、エネルギッシュです。

非常に活発で、多くの運動や遊びが必要です。
飼い主の期待に応えようとする性格です。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Border Terrier,12-15 inches,"13-15.5 pounds (male), 11.5-14 pounds (female)",12-15 years,"Affectionate, Happy, Plucky",Weekly Brushing,Occasional,Regular Exercise,Easy Training,Friendly,"Border Terrierは犬種です。

体高は12〜38.1cmです。
体重は13〜7kg (オス)、 11.5〜6.4kg (メス)です。
寿命は12〜15 年です。

特徴は愛情深いです、明るいです、度胸があります。

適度な運動が必要です。
しつけは容易な傾向があります。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Borzoi,"28 inches & up (male), 26 inches & up (female)","75-105 pounds (male), 60-85 pounds (female)",9-14 years,"Affectionate, Loyal, Regally Dignified",Weekly Brushing,Seasonal,Energetic,Independent,Alert/Responsive,"Borzoiは犬種です。

体高は71.1cm 以上 (オス)、 66cm 以上 (メス)です。
体重は75〜47.6kg (オス)、 60〜38.6kg (メス)です。
寿命は9〜14 年です。

特徴は愛情深いです、忠実です、気高く威厳があります。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Boston Terrier,15-17 inches,12-25 pounds,11-13 years,"Friendly, Bright, Amusing",Weekly Brushing,Infrequent,Regular Exercise,Eager to Please,Outgoing,"Boston Terrierは犬種です。

体高は15〜43.2cmです。
体重は12〜11.3kgです。
寿命は11〜13 年です。

特徴は友好的です、明るいです、面白いです。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
社交的な性格です。
週に1回程度のブラッシングが必要です。
抜け毛は少ないです。"
